,Date,DT_R,DT_NEE,Label,Res,NEE,NEE1,NEE2,GEE,PAR,Soil temperature,Chamber_temp,Soil_moist
36,20220617,"[datetime.datetime(2022, 6, 17, 8, 59, 44)]","[datetime.datetime(2022, 6, 17, 9, 35, 7)]",LH_UL3,12.09786,-6.27953,,,-18.377390000000002,1400.0,22.6,28.29045,43.1
37,20220617,"[datetime.datetime(2022, 6, 17, 8, 56, 15)]","[datetime.datetime(2022, 6, 17, 9, 38, 5)]",LH_UL4,11.13504,-7.74369,,,-18.87873,1600.0,22.1,27.66364,40.3
38,20220617,"[datetime.datetime(2022, 6, 17, 9, 3, 28)]","[datetime.datetime(2022, 6, 17, 9, 40, 50)]",LH_UL5,12.85712,-1.60012,,,-14.45724,1350.0,22.1,28.73818,46.5
39,20220617,"[datetime.datetime(2022, 6, 17, 9, 6, 39)]","[datetime.datetime(2022, 6, 17, 9, 43, 45)]",LH_UL6,10.71068,-3.78696,,,-14.49764,1200.0,22.2,28.77818,44.3
40,20220617,"[datetime.datetime(2022, 6, 17, 9, 10, 40)]",[],LH_SV1,14.1111,,,,,1580.0,22.2,28.42682,40.8
41,20220617,"[datetime.datetime(2022, 6, 17, 9, 14, 45)]","[datetime.datetime(2022, 6, 17, 9, 20)]",LH_SV2,5.42867,2.97618,,,-2.4524900000000005,100.0,19.7,26.72591,48.8
42,20220621,"[datetime.datetime(2022, 6, 21, 9, 50, 50)]","[datetime.datetime(2022, 6, 21, 9, 56, 10)]",LC_HL1,9.72729,-2.39016,,,-12.11745,550.0,20.9,22.775,25.4
43,20220621,"[datetime.datetime(2022, 6, 21, 9, 47, 16)]","[datetime.datetime(2022, 6, 21, 9, 59, 42)]",LC_HL2,13.11815,-9.51788,,,-22.636029999999998,750.0,21.4,22.47273,30.6
44,20220621,"[datetime.datetime(2022, 6, 21, 9, 44, 58)]","[datetime.datetime(2022, 6, 21, 10, 3, 20)]",LC_HL3,10.70583,-5.49664,,,-16.20247,670.0,21.5,22.04636,27.2
45,20220621,"[datetime.datetime(2022, 6, 21, 9, 42, 43)]","[datetime.datetime(2022, 6, 21, 10, 7, 51)]",LC_HL4,9.68761,-6.35396,,,-16.04157,520.0,21.7,22.02545,34.0
